nombre,categoria,sku,codigo_barras,precio_bs,precio_usd,costo_bs,costo_usd,stock_minimo
Coca Cola 2L,Bebidas,BEB001,7501234567890,15.00,3.75,12.00,3.00,20
Pepsi 2L,Bebidas,BEB002,7501234567891,14.00,3.50,11.20,2.80,20
Agua Mineral 1L,Bebidas,BEB003,7501234567892,8.00,2.00,6.40,1.60,30
Laptop Dell Inspiron,Electrónica,ELEC001,7501234567893,12000.00,3000.00,10000.00,2500.00,5
Mouse Logitech,Accesorios,ACC001,7501234567894,150.00,37.50,120.00,30.00,15
Teclado Mecánico RGB,Accesorios,ACC002,7501234567895,400.00,100.00,320.00,80.00,10
Monitor 24 pulgadas,Electrónica,ELEC002,7501234567896,1600.00,400.00,1280.00,320.00,8
Cable HDMI 2m,Accesorios,ACC003,7501234567897,80.00,20.00,64.00,16.00,25
Auriculares Bluetooth,Electrónica,ELEC003,7501234567898,280.00,70.00,224.00,56.00,12
Pan Integral,Panadería,PAN001,7501234567899,12.00,3.00,9.60,2.40,50
Leche Entera 1L,Lácteos,LAC001,7501234567900,18.00,4.50,14.40,3.60,40
Queso Blanco 500g,Lácteos,LAC002,7501234567901,35.00,8.75,28.00,7.00,25
Yogurt Natural,Lácteos,LAC003,7501234567902,10.00,2.50,8.00,2.00,30
Arroz 1kg,Granos,GRA001,7501234567903,20.00,5.00,16.00,4.00,60
Pasta Spaghetti 500g,Granos,GRA002,7501234567904,12.00,3.00,9.60,2.40,45
